subject_id,target,value
100206,ListSort_Unadj,112.89
100307,ListSort_Unadj,108.06
100408,ListSort_Unadj,108.06
100610,ListSort_Unadj,117.39
101006,ListSort_Unadj,93.9
101107,ListSort_Unadj,130.38
101309,ListSort_Unadj,117.39
101915,ListSort_Unadj,117.39
102008,ListSort_Unadj,100.43
102109,ListSort_Unadj,121.89
102311,ListSort_Unadj,121.89
102513,ListSort_Unadj,112.89
102614,ListSort_Unadj,117.39
102715,ListSort_Unadj,117.39
102816,ListSort_Unadj,117.39
103010,ListSort_Unadj,126.18
103111,ListSort_Unadj,126.18
103212,ListSort_Unadj,130.38
103414,ListSort_Unadj,112.89
103515,ListSort_Unadj,96.99
103818,ListSort_Unadj,117.39
104012,ListSort_Unadj,96.99
104416,ListSort_Unadj,108.06
104820,ListSort_Unadj,112.89
105014,ListSort_Unadj,112.89
105115,ListSort_Unadj,126.18
105216,ListSort_Unadj,121.89
105620,ListSort_Unadj,121.89
105923,ListSort_Unadj,117.39
106016,ListSort_Unadj,108.06
106319,ListSort_Unadj,104.06
106521,ListSort_Unadj,133.93
106824,ListSort_Unadj,130.38
107018,ListSort_Unadj,108.06
107321,ListSort_Unadj,130.38
107422,ListSort_Unadj,137.98
107725,ListSort_Unadj,93.9
108020,ListSort_Unadj,117.39
108121,ListSort_Unadj,117.39
108222,ListSort_Unadj,144.5
108323,ListSort_Unadj,108.06
108525,ListSort_Unadj,100.43
108828,ListSort_Unadj,100.43
109123,ListSort_Unadj,133.93
110007,ListSort_Unadj,108.06
110411,ListSort_Unadj,121.89
110613,ListSort_Unadj,130.38
111009,ListSort_Unadj,112.89
111211,ListSort_Unadj,121.89
111312,ListSort_Unadj,108.06
111413,ListSort_Unadj,104.06
111514,ListSort_Unadj,108.06
111716,ListSort_Unadj,104.06
112112,ListSort_Unadj,104.06
112314,ListSort_Unadj,108.06
112516,ListSort_Unadj,100.43
112819,ListSort_Unadj,104.06
112920,ListSort_Unadj,130.38
113215,ListSort_Unadj,130.38
113316,ListSort_Unadj,117.39
113619,ListSort_Unadj,112.89
113821,ListSort_Unadj,121.89
113922,ListSort_Unadj,133.93
114116,ListSort_Unadj,104.06
114217,ListSort_Unadj,112.89
114318,ListSort_Unadj,112.89
114419,ListSort_Unadj,117.39
114621,ListSort_Unadj,104.06
114823,ListSort_Unadj,126.18
115017,ListSort_Unadj,104.06
115219,ListSort_Unadj,121.89
115320,ListSort_Unadj,100.43
115724,ListSort_Unadj,93.9
115825,ListSort_Unadj,104.06
116221,ListSort_Unadj,112.89
116423,ListSort_Unadj,100.43
116524,ListSort_Unadj,108.06
116726,ListSort_Unadj,126.18
117021,ListSort_Unadj,126.18
117122,ListSort_Unadj,117.39
117324,ListSort_Unadj,96.99
117930,ListSort_Unadj,108.06
118023,ListSort_Unadj,100.43
118124,ListSort_Unadj,91.07
118225,ListSort_Unadj,130.38
118528,ListSort_Unadj,104.06
118730,ListSort_Unadj,112.89
118831,ListSort_Unadj,112.89
118932,ListSort_Unadj,104.06
119025,ListSort_Unadj,144.5
119126,ListSort_Unadj,112.89
119732,ListSort_Unadj,100.43
119833,ListSort_Unadj,108.06
120010,ListSort_Unadj,117.39
120111,ListSort_Unadj,88.68
120212,ListSort_Unadj,121.89
120414,ListSort_Unadj,100.43
120515,ListSort_Unadj,108.06
120717,ListSort_Unadj,117.39
121416,ListSort_Unadj,112.89
121618,ListSort_Unadj,104.06
121719,ListSort_Unadj,108.06
121921,ListSort_Unadj,108.06
122317,ListSort_Unadj,117.39
122418,ListSort_Unadj,112.89
122620,ListSort_Unadj,108.06
122822,ListSort_Unadj,104.06
123117,ListSort_Unadj,93.9
123420,ListSort_Unadj,100.43
123521,ListSort_Unadj,104.06
123723,ListSort_Unadj,100.43
123824,ListSort_Unadj,100.43
123925,ListSort_Unadj,112.89
124220,ListSort_Unadj,121.89
124422,ListSort_Unadj,93.9
124624,ListSort_Unadj,144.5
124826,ListSort_Unadj,104.06
125222,ListSort_Unadj,133.93
125424,ListSort_Unadj,112.89
125525,ListSort_Unadj,91.07
126325,ListSort_Unadj,112.89
126426,ListSort_Unadj,108.06
126628,ListSort_Unadj,88.68
127226,ListSort_Unadj,100.43
