roi_index,roi_label,raw_score,prior_score
1,Precentral_L,0.1,0.08888888888888889
2,Precentral_R,0.1,0.08888888888888889
3,Frontal_Sup_L,0.92,1.0
4,Frontal_Sup_R,0.92,1.0
5,Frontal_Sup_Orb_L,0.45,0.47777777777777775
6,Frontal_Sup_Orb_R,0.45,0.47777777777777775
7,Frontal_Mid_L,0.82,0.8888888888888888
8,Frontal_Mid_R,0.82,0.8888888888888888
9,Frontal_Mid_Orb_L,0.4,0.4222222222222222
10,Frontal_Mid_Orb_R,0.4,0.4222222222222222
11,Frontal_Inf_Oper_L,0.55,0.5888888888888889
12,Frontal_Inf_Oper_R,0.55,0.5888888888888889
13,Frontal_Inf_Tri_L,0.35,0.36666666666666664
14,Frontal_Inf_Tri_R,0.35,0.36666666666666664
15,Frontal_Inf_Orb_L,0.35,0.36666666666666664
16,Frontal_Inf_Orb_R,0.35,0.36666666666666664
17,Rolandic_Oper_L,0.1,0.08888888888888889
18,Rolandic_Oper_R,0.1,0.08888888888888889
19,Supp_Motor_Area_L,0.4,0.4222222222222222
20,Supp_Motor_Area_R,0.4,0.4222222222222222
21,Olfactory_L,0.02,0.0
22,Olfactory_R,0.02,0.0
23,Frontal_Sup_Medial_L,0.75,0.8111111111111111
24,Frontal_Sup_Medial_R,0.75,0.8111111111111111
25,Frontal_Med_Orb_L,0.5,0.5333333333333333
26,Frontal_Med_Orb_R,0.5,0.5333333333333333
27,Rectus_L,0.5,0.5333333333333333
28,Rectus_R,0.5,0.5333333333333333
29,Insula_L,0.7,0.7555555555555554
30,Insula_R,0.7,0.7555555555555554
31,Cingulum_Ant_L,0.85,0.9222222222222222
32,Cingulum_Ant_R,0.85,0.9222222222222222
33,Cingulum_Mid_L,0.55,0.5888888888888889
34,Cingulum_Mid_R,0.55,0.5888888888888889
35,Cingulum_Post_L,0.48,0.5111111111111111
36,Cingulum_Post_R,0.48,0.5111111111111111
37,Hippocampus_L,0.25,0.25555555555555554
38,Hippocampus_R,0.25,0.25555555555555554
39,ParaHippocampal_L,0.2,0.2
40,ParaHippocampal_R,0.2,0.2
41,Amygdala_L,0.1,0.08888888888888889
42,Amygdala_R,0.1,0.08888888888888889
