subject,label_raw
100206,20.0
100307,17.0
100408,7.0
100610,23.0
101006,11.0
101107,14.0
101309,15.0
101915,21.0
102008,20.0
102109,21.0
102311,20.0
102513,18.0
102614,18.0
102715,22.0
102816,17.0
103010,19.0
103111,21.0
103212,15.0
103414,17.0
103515,8.0
103818,16.0
104012,10.0
104416,23.0
104820,15.0
105014,21.0
105115,22.0
105216,22.0
105620,22.0
105923,22.0
106016,22.0
106319,24.0
106521,23.0
106824,22.0
107018,10.0
107321,23.0
107422,24.0
107725,10.0
108020,21.0
108121,16.0
108222,22.0
108323,13.0
108525,18.0
108828,20.0
109123,22.0
110007,18.0
110411,16.0
110613,17.0
111009,20.0
111211,19.0
111312,17.0
111413,13.0
111514,17.0
111716,22.0
112112,21.0
112314,18.0
112516,11.0
112819,20.0
112920,17.0
113215,17.0
113316,20.0
113619,15.0
113821,21.0
113922,15.0
114116,20.0
114217,21.0
114318,16.0
114419,13.0
114621,15.0
114823,22.0
115017,15.0
115219,18.0
115320,14.0
115724,10.0
115825,9.0
116221,21.0
116423,14.0
116524,13.0
116726,19.0
117021,23.0
117122,24.0
117324,12.0
117930,13.0
118023,19.0
118124,16.0
118225,23.0
118528,8.0
118730,10.0
118831,17.0
118932,19.0
119025,20.0
119126,17.0
119732,22.0
119833,12.0
120010,24.0
120111,14.0
120212,22.0
120414,12.0
120515,21.0
120717,20.0
121416,20.0
121618,11.0
121719,7.0
121921,21.0
122317,18.0
122418,21.0
122620,16.0
122822,19.0
123117,8.0
123420,21.0
123521,15.0
123723,7.0
123824,8.0
123925,16.0
124220,18.0
124422,18.0
124624,13.0
124826,10.0
125222,23.0
125424,15.0
125525,8.0
126325,13.0
126426,7.0
126628,21.0
127226,21.0
127327,23.0
127630,21.0
127731,11.0
127832,21.0
127933,19.0
128026,21.0
128127,14.0
128632,14.0
128935,14.0
129028,24.0
129129,16.0
129331,8.0
129634,20.0
129937,16.0
130013,20.0
130114,22.0
130316,14.0
130417,20.0
130518,9.0
130619,22.0
130720,20.0
130821,9.0
130922,22.0
131217,11.0
131419,7.0
131722,19.0
131823,21.0
131924,23.0
132017,22.0
132118,8.0
133019,18.0
133625,22.0
133827,13.0
133928,20.0
134021,19.0
134223,24.0
134324,20.0
134425,12.0
134627,18.0
134728,23.0
134829,17.0
135124,21.0
135225,16.0
135528,9.0
135629,13.0
135730,21.0
135932,19.0
136126,19.0
136227,20.0
136631,15.0
136732,15.0
136833,20.0
137027,9.0
137128,19.0
137229,24.0
137532,15.0
137633,13.0
144125,7.0
144226,9.0
144428,19.0
144731,21.0
144832,21.0
144933,23.0
145127,19.0
145632,20.0
145834,15.0
146129,19.0
146331,8.0
146432,9.0
146634,7.0
146735,6.0
146836,18.0
146937,20.0
151223,18.0
151324,19.0
151425,19.0
151627,11.0
151829,10.0
151930,22.0
153732,11.0
153833,21.0
153934,20.0
154229,22.0
154532,13.0
154734,20.0
154835,17.0
154936,13.0
155231,12.0
155635,20.0
155938,21.0
156031,10.0
156233,12.0
156334,20.0
156435,24.0
156536,21.0
156637,12.0
157336,22.0
157437,9.0
157942,19.0
158035,22.0
158136,12.0
158338,21.0
158540,17.0
158843,21.0
159138,21.0
159239,15.0
159340,19.0
159441,9.0
159744,7.0
159946,23.0
160123,14.0
160729,13.0
160830,18.0
160931,22.0
161327,8.0
161630,8.0
161731,21.0
161832,14.0
162026,15.0
162228,20.0
162329,10.0
162733,22.0
162935,17.0
163129,14.0
163331,15.0
163432,21.0
163836,9.0
164030,23.0
164131,23.0
164636,17.0
164939,19.0
165032,18.0
165436,17.0
165638,21.0
165840,20.0
165941,20.0
166438,21.0
166640,17.0
167036,11.0
167238,15.0
167743,17.0
168139,18.0
168240,12.0
168341,18.0
168745,21.0
168947,12.0
169040,19.0
169343,6.0
169444,19.0
169545,18.0
169747,12.0
169949,15.0
170631,22.0
170934,13.0
171330,19.0
171431,20.0
171532,17.0
171633,18.0
172029,21.0
172130,20.0
172332,18.0
172433,20.0
172534,22.0
172635,10.0
172938,19.0
173132,17.0
173233,20.0
173334,23.0
173435,19.0
173536,22.0
173637,21.0
173738,15.0
173839,17.0
173940,20.0
174437,9.0
174841,18.0
175035,8.0
175136,7.0
175237,20.0
175338,21.0
175439,11.0
175540,22.0
175742,24.0
176037,21.0
176239,18.0
176441,20.0
176542,12.0
176744,18.0
176845,9.0
177140,17.0
177241,9.0
177342,9.0
177645,22.0
177746,20.0
178142,20.0
178243,10.0
178647,19.0
178748,8.0
178849,21.0
178950,20.0
179245,14.0
179346,21.0
179952,10.0
180129,7.0
180230,23.0
180432,22.0
180533,20.0
180735,13.0
180836,16.0
180937,23.0
181131,6.0
181232,15.0
181636,9.0
182032,10.0
182436,12.0
182739,22.0
182840,12.0
183034,10.0
183337,6.0
183741,20.0
185038,21.0
185139,22.0
185341,18.0
185442,23.0
185846,14.0
185947,20.0
186040,22.0
186141,6.0
186444,21.0
186545,12.0
186848,8.0
187143,22.0
187345,19.0
187547,7.0
187850,20.0
188145,24.0
188347,11.0
188448,20.0
188549,20.0
188751,12.0
189349,21.0
189450,6.0
189652,20.0
190031,20.0
191033,22.0
191235,19.0
191336,12.0
191437,15.0
191841,19.0
191942,22.0
192035,14.0
192136,15.0
192237,16.0
192439,9.0
192540,23.0
192641,16.0
192843,21.0
193239,17.0
193441,8.0
193845,19.0
194140,5.0
194443,22.0
194645,17.0
194746,16.0
194847,23.0
195041,16.0
195445,24.0
195647,17.0
195849,18.0
195950,8.0
196144,16.0
196346,21.0
196750,15.0
196851,22.0
196952,21.0
197348,21.0
197550,9.0
197651,20.0
198047,23.0
198249,12.0
198350,23.0
198451,18.0
198653,14.0
198855,16.0
199150,17.0
199251,20.0
199352,18.0
199453,21.0
