seed,fold,old_pearson,fip_qwen_pearson,match
0,0,0.5022012461636285,0.479686337859744,False
0,1,0.316678842408467,0.318144670427269,True
0,2,0.3109505577790545,0.2867678835526046,False
0,3,0.1790720344870298,0.2053875134829629,False
0,4,0.4154206761676632,0.4020326343375605,False
1,0,0.2253703793514405,0.30085625857447973,False
1,1,0.3300854651054696,0.3766649834015127,False
1,2,0.4396059982124887,0.43334073836439624,True
1,3,0.2283181678844858,0.2362374402262784,True
1,4,0.3323571328108797,0.34478506156655137,False
2,0,0.4008882756251857,0.3707316219669114,False
2,1,0.2322079287281586,0.24842544065439714,False
2,2,0.4087816448103506,0.3531839867401104,False
2,3,0.4795901384570981,0.47085202813302485,True
2,4,0.3165131362314725,0.28888026873903483,False
