roi_index,roi_label,raw_score,prior_score
1,Precentral_L,0.92,0.9684210526315791
2,Precentral_R,0.45,0.4736842105263158
3,Frontal_Sup_L,0.48,0.5052631578947369
4,Frontal_Sup_R,0.05,0.052631578947368425
5,Frontal_Sup_Orb_L,0.05,0.052631578947368425
6,Frontal_Sup_Orb_R,0.12,0.12631578947368421
7,Frontal_Mid_L,0.08,0.08421052631578949
8,Frontal_Mid_R,0.15,0.15789473684210525
9,Frontal_Mid_Orb_L,0.35,0.3684210526315789
10,Frontal_Mid_Orb_R,0.12,0.12631578947368421
11,Frontal_Inf_Oper_L,0.05,0.052631578947368425
12,Frontal_Inf_Oper_R,0.1,0.10526315789473685
13,Frontal_Inf_Tri_L,0.05,0.052631578947368425
14,Frontal_Inf_Tri_R,0.0,0.0
15,Frontal_Inf_Orb_L,0.12,0.12631578947368421
16,Frontal_Inf_Orb_R,0.95,1.0
17,Rolandic_Oper_L,0.18,0.18947368421052632
18,Rolandic_Oper_R,0.1,0.10526315789473685
19,Supp_Motor_Area_L,0.28,0.2947368421052632
20,Supp_Motor_Area_R,0.18,0.18947368421052632
21,Olfactory_L,0.38,0.4
22,Olfactory_R,0.62,0.6526315789473685
23,Frontal_Sup_Medial_L,0.1,0.10526315789473685
24,Frontal_Sup_Medial_R,0.28,0.2947368421052632
25,Frontal_Med_Orb_L,0.18,0.18947368421052632
26,Frontal_Med_Orb_R,0.12,0.12631578947368421
27,Rectus_L,0.42,0.4421052631578947
28,Rectus_R,0.1,0.10526315789473685
29,Insula_L,0.1,0.10526315789473685
30,Insula_R,0.05,0.052631578947368425
31,Cingulum_Ant_L,0.28,0.2947368421052632
32,Cingulum_Ant_R,0.0,0.0
33,Cingulum_Mid_L,0.22,0.23157894736842105
34,Cingulum_Mid_R,0.05,0.052631578947368425
35,Cingulum_Post_L,0.18,0.18947368421052632
36,Cingulum_Post_R,0.05,0.052631578947368425
37,Hippocampus_L,0.35,0.3684210526315789
38,Hippocampus_R,0.35,0.3684210526315789
39,ParaHippocampal_L,0.88,0.9263157894736842
40,ParaHippocampal_R,0.38,0.4
41,Amygdala_L,0.92,0.9684210526315791
42,Amygdala_R,0.1,0.10526315789473685
43,Calcarine_L,0.05,0.052631578947368425
44,Calcarine_R,0.62,0.6526315789473685
45,Cuneus_L,0.05,0.052631578947368425
46,Cuneus_R,0.52,0.5473684210526316
47,Lingual_L,0.43,0.45263157894736844
48,Lingual_R,0.05,0.052631578947368425
49,Occipital_Sup_L,0.5,0.5263157894736842
50,Occipital_Sup_R,0.48,0.5052631578947369
51,Occipital_Mid_L,0.05,0.052631578947368425
52,Occipital_Mid_R,0.18,0.18947368421052632
53,Occipital_Inf_L,0.85,0.8947368421052632
54,Occipital_Inf_R,0.52,0.5473684210526316
55,Fusiform_L,0.52,0.5473684210526316
56,Fusiform_R,0.12,0.12631578947368421
57,Postcentral_L,0.35,0.3684210526315789
58,Postcentral_R,0.0,0.0
59,Parietal_Sup_L,0.22,0.23157894736842105
60,Parietal_Sup_R,0.1,0.10526315789473685
61,Parietal_Inf_L,0.26,0.2736842105263158
62,Parietal_Inf_R,0.05,0.052631578947368425
63,SupraMarginal_L,0.58,0.6105263157894737
64,SupraMarginal_R,0.58,0.6105263157894737
65,Angular_L,0.05,0.052631578947368425
66,Angular_R,0.15,0.15789473684210525
67,Precuneus_L,0.1,0.10526315789473685
68,Precuneus_R,0.0,0.0
69,Paracentral_Lobule_L,0.12,0.12631578947368421
70,Paracentral_Lobule_R,0.5,0.5263157894736842
71,Caudate_L,0.58,0.6105263157894737
72,Caudate_R,0.05,0.052631578947368425
73,Putamen_L,0.38,0.4
74,Putamen_R,0.68,0.7157894736842106
75,Pallidum_L,0.12,0.12631578947368421
76,Pallidum_R,0.12,0.12631578947368421
77,Thalamus_L,0.1,0.10526315789473685
78,Thalamus_R,0.05,0.052631578947368425
79,Heschl_L,0.58,0.6105263157894737
80,Heschl_R,0.1,0.10526315789473685
81,Temporal_Sup_L,0.85,0.8947368421052632
82,Temporal_Sup_R,0.73,0.768421052631579
83,Temporal_Pole_Sup_L,0.12,0.12631578947368421
84,Temporal_Pole_Sup_R,0.05,0.052631578947368425
85,Temporal_Mid_L,0.05,0.052631578947368425
86,Temporal_Mid_R,0.28,0.2947368421052632
87,Temporal_Pole_Mid_L,0.62,0.6526315789473685
88,Temporal_Pole_Mid_R,0.42,0.4421052631578947
89,Temporal_Inf_L,0.75,0.7894736842105263
90,Temporal_Inf_R,0.9,0.9473684210526316
91,Cerebelum_Crus1_L,0.22,0.23157894736842105
92,Cerebelum_Crus1_R,0.58,0.6105263157894737
